-11.5	-0.1014
-11	-0.9674
-10.5	-1.8335
-10	-2.6995
-9.5	-3.5655
-9	-4.4315
-8.5	-5.2878
-8	-6.02
-7.5	-6.6344
-7	-7.1614
-6.5	-7.6193
-6	-8.02
-5.5	-8.3716
-5	-8.6803
-4.5	-8.9503
-4	-9.1852
-3.5	-9.3875
-3	-9.5594
-2.5	-9.7025
-2	-9.818
-1.5	-9.9069
-1	-9.9699
-0.5	-10.0075
0	-10.02
0.5	-10.0075
1	-9.9699
1.5	-9.9069
2	-9.818
2.5	-9.7025
3	-9.5594
3.5	-9.3875
4	-9.1852
4.5	-8.9503
5	-8.6803
5.5	-8.3716
6	-8.02
6.5	-7.6193
7	-7.1614
7.5	-6.6344
8	-6.02
8.5	-5.2878
9	-4.4315
9.5	-3.5655
10	-2.6995
10.5	-1.8335
11	-0.9674
11.5	-0.1014
