-13	-2.7377
-12.5	-5.3664
-12	-6.7107
-11.5	-7.6529
-11	-8.3366
-10.5	-8.8504
-10	-9.3111
-9.5	-9.6747
-9	-9.9809
-8.5	-10.2391
-8	-10.4564
-7.5	-10.6546
-7	-10.786
-6.5	-10.9072
-6	-11.0022
-5.5	-11.0741
-5	-11.1238
-4.5	-11.1711
-4	-11.1711
-3.5	-11.172
-3	-11.1594
-2.5	-11.1366
-2	-11.1043
-1.5	-11.0755
-1	-11.0454
-0.5	-11.0269
0	-11.02
0.5	-11.0269
1	-11.0454
1.5	-11.0755
2	-11.1043
2.5	-11.1366
3	-11.1594
3.5	-11.172
4	-11.1711
4.5	-11.1711
5	-11.1238
5.5	-11.0741
6	-11.0022
6.5	-10.9072
7	-10.786
7.5	-10.6546
8	-10.4564
8.5	-10.2391
9	-9.9809
9.5	-9.6747
10	-9.3111
10.5	-8.8504
11	-8.3366
11.5	-7.6529
12	-6.7107
12.5	-5.3664
13	-2.7377
